SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.082504198,47,0,0.252993838,8600.0,7,0,1,0,3.0
0,0.050834087,41,0,0.007679386,8333.0,2,0,0,0,0.0
0,0.079565341,80,0,0.02416264,6000.0,8,0,0,0,1.0
0,0.202477032,48,0,0.235626562,9200.0,10,0,1,0,0.0
0,0.923076923,24,0,0.010795682,2500.0,1,0,0,0,0.0
0,0.14631469,51,0,1066.0,1.0,12,0,2,0,2.0
0,0.990648178,36,0,0.650401482,1618.0,4,0,0,0,2.0
0,0.00492232,54,0,0.148564094,6232.0,7,0,1,0,1.0
0,0.021502145,40,0,0.24764353,3500.0,5,0,1,0,3.0
0,0.037423225,35,0,0.684139422,3700.0,5,0,1,2,2.0
0,0.371739754,58,0,0.080833865,4700.0,8,0,0,0,0.0
0,0.527284601,53,0,4750.0,,10,0,1,0,0.0
0,0.0,81,0,0.0,7500.0,7,0,0,0,0.0
0,0.088798926,66,0,0.494120915,10800.0,11,0,3,0,0.0
0,0.007377614,49,0,0.038903394,11489.0,5,0,0,0,4.0
0,0.309805852,30,0,0.599034649,5800.0,9,0,3,0,0.0
0,0.0,46,0,0.298147311,11064.0,7,0,2,0,1.0
0,0.23943662,81,0,0.259308511,5263.0,10,0,1,0,0.0
0,0.015126958,29,0,0.007220217,3600.0,2,0,0,0,0.0
0,0.0,22,0,0.0,,1,0,0,0,0.0
0,0.291931633,69,0,1262.0,,9,0,1,0,0.0
0,0.160799179,38,0,0.653057824,6000.0,16,1,2,0,1.0
0,0.031105059,72,0,0.191965097,5500.0,6,0,1,0,0.0
0,0.232504999,22,0,0.0059985,4000.0,3,0,0,0,0.0
0,0.937242798,65,0,0.662911612,1153.0,6,0,1,0,0.0
0,0.135808525,70,0,0.392637311,8447.0,11,0,2,0,0.0
0,0.97020298,31,0,0.085245902,6404.0,3,0,0,0,3.0
0,0.368449547,72,0,3072.0,,12,0,1,0,0.0
0,0.106118944,34,0,0.904573687,7083.0,7,0,3,0,0.0
0,0.442938807,80,0,0.333185202,9000.0,8,0,2,0,0.0
0,0.9999999,29,1,233.0,,1,0,0,0,0.0
0,0.345169383,59,1,0.740315315,4439.0,23,0,1,0,1.0
0,0.523940141,53,0,1.088782244,3333.0,9,0,1,0,2.0
0,0.530822951,60,0,0.52304336,11000.0,15,0,3,0,1.0
0,0.010444453,56,0,0.201962264,13249.0,10,0,1,0,0.0
0,0.015902751,57,0,0.184981502,10000.0,18,0,1,0,1.0
0,0.049590517,74,0,2013.0,,11,0,2,0,1.0
0,0.170317541,43,0,0.273072693,10000.0,10,0,2,0,0.0
0,0.068723282,55,0,0.257537123,6666.0,19,0,1,0,1.0
0,0.13031487,46,0,0.106578684,5000.0,4,0,0,0,2.0
0,0.0,64,0,678.0,,4,0,1,0,0.0
0,0.084535372,67,0,55.0,,5,0,0,0,0.0
0,0.9999999,25,98,0.0,1958.0,0,98,0,98,0.0
0,0.666587311,29,0,1.083333333,3671.0,7,0,1,0,0.0
0,0.0,82,0,0.0,,3,0,0,0,0.0
0,0.031322378,72,0,0.174117647,3399.0,7,0,0,0,0.0
0,0.288065122,53,0,0.395633697,12000.0,12,0,2,0,2.0
0,0.9999999,46,0,0.0,,0,1,0,0,
0,0.977563712,41,0,0.517247125,6000.0,6,0,1,0,0.0
0,0.95530447,43,0,0.258699304,4166.0,3,0,0,0,1.0
0,0.0,89,0,344.0,,6,0,0,0,0.0
0,0.116990284,62,0,0.222879684,1520.0,5,0,0,0,1.0
0,0.289739417,60,0,0.543478261,7083.0,9,0,3,0,1.0
0,0.088168148,41,0,0.208270764,8656.0,10,0,1,0,0.0
0,0.100240886,39,0,0.4419018,4500.0,10,0,2,0,0.0
0,0.701484501,60,0,0.096361569,10553.0,2,0,1,0,1.0
0,0.13581297,66,0,0.631620299,28000.0,16,0,9,0,0.0
0,0.749239292,40,2,0.097385032,4435.0,9,0,0,2,1.0
0,0.122368052,50,2,0.555088982,5000.0,17,0,3,0,0.0
0,0.054904308,66,0,111.0,,7,0,0,0,0.0
0,0.00039996,55,0,0.197973604,7500.0,8,0,1,0,2.0
0,0.911757998,67,0,0.865500458,20750.0,53,0,5,0,3.0
0,0.738596446,58,0,1.966292135,800.0,8,0,1,0,0.0
0,0.154170231,44,0,0.448137966,4000.0,9,0,1,0,3.0
0,0.53046953,22,0,0.016129032,929.0,2,0,0,0,0.0
0,0.280366071,63,0,0.629327902,5400.0,10,0,2,0,0.0
0,0.141188966,37,0,0.596839219,6200.0,22,0,2,0,1.0
0,0.152243341,50,0,0.227064426,11128.0,9,0,2,0,2.0
0,0.013218087,35,0,0.00169983,10000.0,6,0,0,0,0.0
0,0.006938931,59,0,0.097370137,4600.0,12,0,0,0,1.0
0,0.072419639,44,0,0.37241536,4400.0,8,0,1,0,0.0
0,0.000114282,48,0,0.251718535,8000.0,6,0,2,0,3.0
0,0.05267203,65,0,0.138191513,4500.0,12,0,0,0,0.0
0,0.0,55,0,0.369192131,7166.0,7,0,3,0,1.0
0,0.487959337,35,0,1.390334572,2420.0,7,0,1,0,0.0
0,0.053052624,49,0,1.300559552,1250.0,11,0,1,0,0.0
0,0.022409929,36,0,0.000956328,3136.0,3,0,0,0,0.0
0,0.600756051,45,0,323.0,,6,0,0,0,0.0
0,0.0,65,0,3936.0,,7,0,2,0,0.0
0,0.780730897,37,0,0.122552448,5719.0,8,0,0,0,1.0
0,0.015489826,78,0,0.271226789,6300.0,14,0,1,0,0.0
0,0.182798326,65,0,0.102419355,3719.0,10,0,0,0,0.0
0,0.515089637,39,0,0.555444887,3011.0,16,0,1,0,1.0
0,0.085550838,43,0,0.020543587,11000.0,7,0,0,0,3.0
0,0.0,39,1,0.465420783,8400.0,7,0,2,0,1.0
0,0.009933002,63,0,0.094181164,5000.0,4,0,0,0,0.0
0,0.241536923,37,0,0.249695196,4100.0,7,0,1,1,2.0
0,0.202612523,41,0,0.12455516,13487.0,4,0,1,0,1.0
0,0.000470212,76,0,0.272986351,6666.0,10,0,1,0,1.0
0,0.264892148,41,0,0.342387949,8098.0,8,0,2,0,2.0
0,0.001709282,72,0,0.64686529,5470.0,12,0,2,0,2.0
0,0.9999999,23,98,0.0,,0,98,0,98,
0,0.004567827,81,0,0.249022164,2300.0,8,0,1,0,0.0
0,0.135674573,49,0,0.639204545,3167.0,5,0,2,0,0.0
0,0.311716542,51,4,0.464680142,4798.0,10,0,1,0,1.0
0,0.0,50,0,3854.0,,9,0,3,0,0.0
0,0.697170347,45,0,0.355449699,8816.0,8,0,2,0,0.0
0,0.255902668,54,0,0.216849489,13400.0,5,0,1,0,5.0
0,0.127515399,59,0,0.179082092,10000.0,21,0,1,0,1.0
0,0.236661226,53,0,0.7828412,4300.0,8,0,2,0,0.0
0,0.031926819,52,0,0.004772727,4399.0,2,0,0,0,2.0
0,0.012048585,57,0,0.01614143,1300.0,5,0,0,0,2.0
0,0.044540253,45,0,3673.0,,7,0,1,0,0.0
0,0.323163697,31,0,2508.0,,7,0,2,0,0.0
0,0.19543668,51,0,0.041739565,4000.0,3,0,0,0,0.0
0,0.94480046,43,0,0.898504102,6216.0,18,0,2,0,2.0
0,0.073994442,62,0,0.330797653,4600.0,9,0,2,0,1.0
0,0.125580758,49,0,0.69945179,3100.0,11,0,1,0,2.0
0,0.407450243,76,0,437.0,0.0,5,0,0,0,0.0
0,0.135636225,47,0,0.075425364,5700.0,10,0,0,0,0.0
0,0.729769364,31,0,0.279088365,2500.0,2,0,0,0,2.0
0,0.831622765,46,0,0.577320955,7539.0,8,0,2,0,3.0
0,0.014710953,50,0,1.025423729,6253.0,8,0,3,0,0.0
0,0.0,74,0,66.0,,8,0,0,0,0.0
0,0.452551854,29,0,0.274261227,11200.0,9,0,2,0,0.0
0,0.087120801,66,0,0.368794326,1550.0,9,0,0,0,0.0
0,0.9999999,49,0,0.076285813,5793.0,2,0,1,0,0.0
0,0.526436298,32,0,0.461886496,10166.0,13,0,2,0,3.0
0,0.166135478,38,0,0.490431305,3500.0,10,0,1,0,0.0
0,0.011217875,68,0,708.0,,9,0,0,0,0.0
0,0.9999999,39,0,0.443019943,2807.0,7,0,0,0,2.0
0,0.274085185,62,0,1792.0,,4,0,1,0,
0,0.457154579,50,0,0.103425118,13400.0,7,0,0,0,2.0
0,0.63129568,55,1,5225.0,,8,2,2,0,
0,0.451936578,31,0,1.02736266,4750.0,6,1,2,0,0.0
0,0.10149812,59,1,0.091863517,8000.0,12,0,0,0,0.0
0,0.0,50,0,0.0,1916.0,3,0,0,0,0.0
0,0.001584407,56,0,0.523133868,1620.0,8,0,1,0,0.0
0,0.9999999,59,0,0.413612565,2291.0,2,0,0,0,1.0
0,0.14645623,67,0,0.321488062,1800.0,3,0,0,0,0.0
0,0.249059086,51,0,0.274893265,7260.0,13,0,1,0,3.0
0,0.0,34,0,0.069322967,6173.0,6,0,0,0,0.0
0,0.927256792,54,1,0.230695536,5218.0,11,0,0,0,2.0
0,0.232792635,58,0,0.494587843,1200.0,4,0,0,0,0.0
0,0.03427468,41,0,29.0,,3,0,0,0,0.0
0,0.958809908,65,0,0.683172656,2281.0,11,0,2,0,0.0
0,0.0,43,1,0.389115911,15416.0,6,0,2,0,0.0
0,1.01032989,62,0,0.230145371,6534.0,6,0,1,0,0.0
