row_index,label,age,DebtRatio,RevolvingUtilizationOfUnsecuredLines,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberOfTime60-89DaysPastDueNotWorse,NumberOfTime30-59DaysPastDueNotWorse,NumberRealEstateLoansOrLines,NumberOfDependents
2924,0,69.0,109.0,0.08891643,,6.0,0.0,0.0,0.0,0.0,0.0
359,0,37.0,104.0,0.376196108,,5.0,0.0,0.0,0.0,0.0,0.0
9889,0,34.0,0.0,0.9999999,,0.0,98.0,98.0,98.0,0.0,0.0
2297,0,56.0,0.64405085,0.185013059,7000.0,19.0,0.0,0.0,1.0,3.0,1.0
13920,0,52.0,0.003698192,0.064155363,699530.0,11.0,0.0,0.0,0.0,2.0,1.0
8998,0,29.0,0.667349552,5118.0,3904.0,5.0,0.0,0.0,0.0,2.0,3.0
6792,0,47.0,0.173991907,0.035604855,7166.0,8.0,0.0,0.0,0.0,1.0,3.0
5196,0,56.0,0.338863338,0.054058674,6087.0,11.0,0.0,0.0,0.0,1.0,0.0
6952,0,53.0,3933.0,0.001758484,,10.0,0.0,0.0,0.0,2.0,0.0
6479,0,40.0,43843.0,0.616923765,,14.0,0.0,0.0,0.0,1.0,0.0
